2020.07.03 21:07:28 INFO  started: Metals version 0.9.1 in workspace 'C:\Users\DELL\Desktop\03_代码\chapter01'
2020.07.03 21:07:29 INFO  time: initialize in 1.46s
2020.07.03 21:07:30 WARN  no build tool detected in workspace 'C:\Users\DELL\Desktop\03_代码\chapter01'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.03 21:07:30 INFO  no build target: using presentation compiler with only scala-library
2020.07.03 21:07:33 WARN  no build target for: C:\Users\DELL\Desktop\03_代码\chapter01\Comment.scala
2020.07.03 21:07:33 WARN  no build target for: C:\Users\DELL\Desktop\03_代码\chapter01\LookSourceCode.scala
2020.07.03 21:07:33 WARN  no build target for: C:\Users\DELL\Desktop\03_代码\chapter01\printDemo.scala
2020.07.03 21:07:33 WARN  no build target for: C:\Users\DELL\Desktop\03_代码\chapter01\TestScala.scala
2020.07.03 21:07:33 WARN  no build target for: C:\Users\DELL\Desktop\03_代码\chapter01\vars\VarDemo01.scala
2020.07.03 21:07:33 WARN  no build target for: C:\Users\DELL\Desktop\03_代码\chapter01\vars\VarDemo02.scala
2020.07.03 21:07:33 WARN  no build target for: C:\Users\DELL\Desktop\03_代码\chapter01\vars\VarDemo03.scala
2020.07.03 21:08:13 WARN  no build target for: C:\Users\DELL\Desktop\03_代码\chapter01\Comment.scala
2020.07.03 21:18:05 WARN  no build target for: C:\Users\DELL\Desktop\03_代码\chapter01\LookSourceCode.scala
2020.07.03 21:18:06 WARN  no build target for: C:\Users\DELL\Desktop\03_代码\chapter01\printDemo.scala
2020.07.03 21:18:08 WARN  no build target for: C:\Users\DELL\Desktop\03_代码\chapter01\TestScala.scala
2020.07.03 21:18:09 WARN  no build target for: C:\Users\DELL\Desktop\03_代码\chapter01\printDemo.scala
2020.07.03 21:18:09 WARN  no build target for: C:\Users\DELL\Desktop\03_代码\chapter01\LookSourceCode.scala
2020.07.03 23:17:16 WARN  no build target for: C:\Users\DELL\Desktop\03_代码\chapter01\TestScala.scala
2020.07.03 23:19:26 WARN  no build target for: C:\Users\DELL\Desktop\03_代码\chapter01\vars\VarDemo01.scala
2020.07.03 23:19:31 WARN  no build target for: C:\Users\DELL\Desktop\03_代码\chapter01\vars\VarDemo03.scala
2020.07.03 23:19:31 WARN  no build target for: C:\Users\DELL\Desktop\03_代码\chapter01\vars\VarDemo02.scala
2020.07.03 23:19:33 WARN  no build target for: C:\Users\DELL\Desktop\03_代码\chapter01\vars\VarDemo03.scala
2020.07.03 23:19:33 WARN  no build target for: C:\Users\DELL\Desktop\03_代码\chapter01\vars\VarDemo02.scala
2020.07.03 23:19:40 WARN  no build target for: C:\Users\DELL\Desktop\03_代码\chapter01\LookSourceCode.scala
2020.07.03 23:19:41 WARN  no build target for: C:\Users\DELL\Desktop\03_代码\chapter01\printDemo.scala
2020.07.03 23:19:41 WARN  no build target for: C:\Users\DELL\Desktop\03_代码\chapter01\TestScala.scala
2020.07.03 23:24:27 INFO  shutting down Metals
